cluster_idx	number_subjects	percent_subjects	mean_length	std_length	mean_fibers_per_subject	std_fibers_per_subject
296	43	86.0	31.921561366190485	2.3214190040873577	3.3	3.986226285598949
297	43	86.0	36.68201512385427	2.7332294995806485	4.24	3.614194239384486
298	41	82.0	35.71781028359541	2.742554536972009	3.04	2.465441136997596
299	38	76.0	45.5715202768361	3.360588193592295	2.62	2.9859001992698952
300	43	86.0	24.709605687092786	1.8760679058764316	5.04	4.711517802152509
301	42	84.0	28.53690037482566	2.0253362157432186	2.7	2.609597670139978
302	25	50.0	27.897207939319152	2.0453700474336385	1.88	2.832948993540124
303	34	68.0	57.23189577245609	6.4870564572441936	1.86	1.8655830187906408
304	43	86.0	42.6337140252513	2.801017334848014	2.68	2.2754340245324625
305	37	74.0	34.904402230280525	2.9684218580110886	2.9	3.5623026261113755
306	42	84.0	27.794428826993475	2.694499491308431	2.68	2.4119701490690137
307	41	82.0	44.643789783767964	3.4915308048323848	5.02	5.266839659606129
308	42	84.0	35.23099604568798	2.7785760326942675	3.02	4.1254817900458605
309	33	66.0	30.86657860668039	1.9353245232449223	3.78	4.8053719939251325
310	42	84.0	27.932353835089643	2.002235279160492	3.42	3.188040150311787
311	44	88.0	38.10070356607052	3.0280361410342937	3.02	2.7458332068791074
312	28	56.00000000000001	23.5400941232347	4.52105453927299	1.98	3.075646273549675
313	34	68.0	22.423434919879565	1.5369878961148555	3.94	4.981606166689615
314	41	82.0	28.811443463810658	2.1870543984048756	3.32	2.9559431658947704
315	41	82.0	29.71323305536942	2.34740453605062	2.66	2.388388578100306
316	35	70.0	45.118474071955944	3.145577532149363	2.28	2.425201022595859
317	44	88.0	33.862606119363214	2.3359013582424337	4.96	4.1131982689872855
318	36	72.0	28.49616179655411	3.139838895646597	2.8	3.7148351242013424
319	40	80.0	46.08168523706144	3.197494068432041	3.4	3.0789608636681303
320	48	96.0	52.62061266480152	4.093292587137927	4.34	2.7612316092642426
321	47	94.0	40.8408010244662	3.037088584168326	4.28	3.9599999999999995
322	40	80.0	48.07289646479679	4.133088039811604	2.62	2.552567335057001
323	44	88.0	43.30431088472848	3.4410519774081947	3.04	2.8492806109613005
324	33	66.0	53.09199395624197	4.463383330615719	2.86	3.3941714747490295
325	37	74.0	47.23319360329411	3.865746378138101	2.96	3.5774851502137643
326	38	76.0	38.92695501251674	2.815356779668663	2.88	3.536325776848055
327	46	92.0	43.552965419481325	2.828710868678846	3.9	3.3120990323358392
328	27	54.0	41.317487467819156	4.5605802248649665	1.34	1.7619307591389624
329	37	74.0	52.83164184689183	6.332610230907017	2.02	2.2315017364994363
330	43	86.0	74.35009711220756	5.825741445798333	2.68	2.5568730903195025
331	33	66.0	35.48377537892278	4.015459382421024	2.4	2.842534080710379
332	37	74.0	57.47118189547042	3.4862918175850637	2.5	2.9546573405388314
333	33	66.0	37.10295209492463	4.6352715064043455	2.58	3.274690825100898
334	44	88.0	47.80560193672769	3.97706428735524	3.08	2.512687803926305
335	33	66.0	71.30009124559709	6.605871003118515	2.1	2.7294688127912363
336	42	84.0	38.05456914961729	2.804435020330155	4.2	3.939543120718442
337	36	72.0	44.443071326927544	4.39587425355261	2.28	2.416940214403327
338	28	56.00000000000001	51.937886644663024	5.482568574448331	1.72	2.2542404485768595
339	48	96.0	43.1289820408709	3.3475608680640527	3.94	2.7742386342922987
340	46	92.0	44.88225169461587	3.5904087889742526	3.82	2.6809699737221973
341	38	76.0	32.834346678076194	3.369050955773692	2.7	3.1764760348537187
342	34	68.0	44.38553575436066	2.8009754540953358	3.68	5.883672322623006
343	42	84.0	46.11441263800532	3.2554241061519975	2.8	2.6532998322843198
344	39	78.0	42.77550718513259	3.0892660586350416	2.7	2.393741840717165
345	34	68.0	42.40412293670353	3.5805542886123756	2.7	3.6565010597564447
346	46	92.0	40.74031663632	3.009045049520292	4.36	3.6919371608953475
347	43	86.0	48.51955503669953	4.01177595864765	3.1	2.8513154858766505
348	32	64.0	51.96612226412662	3.8133973615264263	2.78	3.401705454621255
349	40	80.0	56.18911041500068	4.2060489591732875	2.5	2.238302928559939
350	38	76.0	36.796883971582666	2.89972601982372	2.6	2.449489742783178
351	42	84.0	41.77822010145343	3.628437499218705	2.38	1.9482299658921174
352	40	80.0	46.73789775603775	4.516983388253281	2.26	2.488453334905037
353	44	88.0	43.618112084681336	3.1646041137968246	3.7	3.189043743820395
354	47	94.0	44.2695267924965	3.6985528618171006	4.3	3.3719430600174727
355	45	90.0	44.106346557972834	3.23353315039076	3.86	4.024972049592394
356	38	76.0	42.439769192691145	3.4856110193865404	2.88	2.9707911404203426
357	38	76.0	56.587634281584165	4.638906046593955	2.34	2.3117958387366304
